Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,
0,0.310718,0.565996,1.82158,0.0277734,1.31479,47.3399,,,,,
3,0.225037,0.310395,1.3793,0.0798406,1.08533,13.5938,,,,,
4,0.173933,0.310707,1.78636,0.0283804,1.28019,45.1082,,Distance Ratio Statistics,,,
5,0.2257,0.310603,1.37618,0.0798406,1.13714,14.2426,,,,,
,,,,,,,,,All,Without Outliers,Ratio
,,,,,,,,Mean,30.071125,24.3148666666667,0.808578550575233
,,,,,,,,Standard Error,9.3379541718529,10.398353534628,1.11355799602995
,,,,,,,,Mode,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,Median,29.6754,14.2426,0.479946352871402
,,,,,,,,First Quartile ,14.0804,13.9182,0.988480440896565
,,,,,,,,Third Quartile,45.666125,29.6754,0.649833985257124
,,,,,,,,Variance,348.7895524625,324.377268693333,0.930008557891678
,,,,,,,,Standard Deviation,18.6759083437058,18.0104766370392,0.964369513149227
,,,,,,,,Kurtosis,-5.92273322769437,#NUM!,#NUM!
,,,,,,,,Skewness,0.011306477782138,1.72952252445021,152.967401323031
,,,,,,,,Range,33.7461,31.5144,0.933867913625574
,,,,,,,,Minimum,13.5938,13.5938,1
,,,,,,,,Maximum,47.3399,45.1082,0.952857948580373
,,,,,,,,Sum,120.2845,72.9446,0.606433912931425
,,,,,,,,Count,4,3,0.75
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,All,Without Outliers,Ratio
,,,,,,,,Mean,1.590855,1.51394666666667,0.951655975350781
,,,,,,,,Standard Error,0.123253500389779,0.136209644461927,1.10511785897499
,,,,,,,,Mode,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,Median,1.58283,1.3793,0.871413859984964
,,,,,,,,First Quartile ,1.37852,1.37774,0.999434175782723
,,,,,,,,Third Quartile,1.795165,1.58283,0.88171839357385
,,,,,,,,Variance,0.060765701433333,0.055659201733333,0.915964111669107
,,,,,,,,Standard Deviation,0.246507000779559,0.23592202468895,0.957060140048214
,,,,,,,,Kurtosis,-5.89739816034985,#NUM!,#NUM!
,,,,,,,,Skewness,0.017509888726583,1.73171002493727,98.8989737158201
,,,,,,,,Range,0.4454,0.41018,0.920925011225865
,,,,,,,,Minimum,1.37618,1.37618,1
,,,,,,,,Maximum,1.82158,1.78636,0.98066513685921
,,,,,,,,Sum,6.36342,4.54184,0.713741981513086
,,,,,,,,Count,4,3,0.75
