Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,Core Distance Confidence,Distance Confidence,,,,,,
0,0.160222,0.450328,2.81064,0.0277734,1.31479,47.3399,0.00%,0.00%,,,Column 1,,,Column 1
2,0.26398,0.300982,1.14017,0.414545,0.497601,1.20035,59.43%,97.46%,,Mean,3.68783361111111,,Mean,3.3825744055944
5,0.267246,0.278563,1.04235,0.414545,0.497601,1.20035,62.91%,97.46%,,Standard Error,0.410057221308546,,Standard Error,0.27571646586566
7,0.279266,0.295577,1.05841,0.414545,0.497601,1.20035,62.34%,97.46%,,Mode,1.20035,,Mode,1.20035
8,0.307382,0.307504,1.0004,0.414545,0.497601,1.20035,64.41%,97.46%,,Median,1.54293,,Median,1.54293
10,0.221364,0.292399,1.3209,0.129859,0.70693,5.44381,53.00%,88.50%,,First Quartile ,1.20035,,First Quartile ,1.20035
12,0.171892,0.225771,1.31345,0.402849,0.567826,1.40953,53.27%,97.02%,,Third Quartile,5.23501,,Third Quartile,5.23501
15,0.251122,0.284894,1.13448,0.414545,0.497601,1.20035,59.64%,97.46%,,Variance,24.2131571636092,,Variance,10.8707984455713
17,0.224259,0.261875,1.16773,0.402849,0.567826,1.40953,58.45%,97.02%,,Standard Deviation,4.92068665570255,,Standard Deviation,3.29708938998798
18,0.208665,0.286977,1.3753,0.116808,0.990586,8.4805,51.07%,82.09%,,Kurtosis,44.7787656717551,,Kurtosis,11.2377156703389
21,0.230456,0.278407,1.20807,0.380356,0.586861,1.54293,57.02%,96.74%,,Skewness,5.63053197523088,,Skewness,2.55819317131613
23,0.172042,0.273203,1.588,0.129859,0.586861,4.51921,43.50%,90.45%,,Range,46.13955,,Range,23.33665
27,0.243335,0.256733,1.05506,0.414545,0.497601,1.20035,62.46%,97.46%,,Minimum,1.20035,,Minimum,1.20035
28,0.253319,0.267682,1.0567,0.402849,0.567826,1.40953,62.40%,97.02%,,Maximum,47.3399,,Maximum,24.537
29,0.237427,0.257733,1.08553,0.414545,0.497601,1.20035,61.38%,97.46%,,Sum,531.04804,,Sum,483.70814
31,0.259856,0.278579,1.07205,0.402849,0.567826,1.40953,61.86%,97.02%,,Count,144,,Count,143
33,0.209425,0.235562,1.12481,0.414545,0.497601,1.20035,59.98%,97.46%,,,,,,
35,0.254257,0.278508,1.09538,0.414545,0.497601,1.20035,61.03%,97.46%,,,,,,
37,0.271735,0.272735,1.00368,0.414545,0.497601,1.20035,64.29%,97.46%,,,,,,
39,0.243851,0.272441,1.11724,0.129859,0.70693,5.44381,60.25%,88.50%,,,,,,
41,0.194314,0.271328,1.39634,0.380356,0.586861,1.54293,50.32%,96.74%,,,Column 1,,,Column 1
42,0.273125,0.273245,1.00044,0.414545,0.497601,1.20035,64.41%,97.46%,,Mean,1.20113527777778,,Mean,1.18988
45,0.215469,0.247577,1.14901,0.402849,0.567826,1.40953,59.12%,97.02%,,Standard Error,0.019451064607478,,Standard Error,0.015975205184457
46,0.249486,0.260293,1.04332,0.380356,0.586861,1.54293,62.88%,96.74%,,Mode,#VALUE!,,Mode,#VALUE!
49,0.213456,0.266449,1.24827,0.129859,0.586861,4.51921,55.59%,90.45%,,Median,1.139305,,Median,1.13892
51,0.235993,0.246124,1.04293,0.414545,0.497601,1.20035,62.89%,97.46%,,First Quartile ,1.0579825,,First Quartile ,1.057555
53,0.230748,0.266998,1.1571,0.380356,0.586861,1.54293,58.83%,96.74%,,Third Quartile,1.253615,,Third Quartile,1.250535
55,0.256585,0.262038,1.02125,0.414545,0.497601,1.20035,63.66%,97.46%,,Variance,0.054481523668454,,Variance,0.036494626838028
57,0.188545,0.261758,1.3883,0.116808,0.990586,8.4805,50.61%,82.09%,,Standard Deviation,0.23341277528973,,Standard Deviation,0.191035669020286
59,0.185691,0.253341,1.36432,0.402849,0.567826,1.40953,51.46%,97.02%,,Kurtosis,16.9934017750637,,Kurtosis,5.42602691146661
61,0.236211,0.260319,1.10206,0.129859,0.918004,7.06922,60.79%,85.07%,,Skewness,3.34584201019873,,Skewness,2.05462759952183
62,0.252866,0.260722,1.03107,0.414545,0.497601,1.20035,63.32%,97.46%,,Range,1.81024,,Range,1.09587
65,0.223446,0.259132,1.15971,0.380356,0.586861,1.54293,58.74%,96.74%,,Minimum,1.0004,,Minimum,1.0004
66,0.195252,0.225119,1.15297,0.414545,0.497601,1.20035,58.98%,97.46%,,Maximum,2.81064,,Maximum,2.09627
69,0.253496,0.257495,1.01578,0.402849,0.567826,1.40953,63.86%,97.02%,,Sum,172.96348,,Sum,170.15284
70,0.219,0.245172,1.11951,0.402849,0.567826,1.40953,60.17%,97.02%,,Count,144,,Count,143
75,0.242069,0.251405,1.03857,0.414545,0.497601,1.20035,63.05%,97.46%,,,,,,
77,0.173862,0.2334,1.34244,0.414545,0.497601,1.20035,52.24%,97.46%,,,,,,
