Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.169644,0.857949,5.05735,0.0106622,1.36129,127.674
5,0.264522,0.333645,1.26131,0.0406611,0.509624,12.5335
7,0.220942,0.360552,1.63188,0.0406611,0.522236,12.8436
9,0.306351,0.317995,1.03801,0.0406611,0.392934,9.66364
10,0.300674,0.331064,1.10107,0.0406611,0.398946,9.81149
13,0.243195,0.325013,1.33643,0.0406611,0.509624,12.5335
14,0.324634,0.344129,1.06005,0.0406611,0.392934,9.66364
18,0.30466,0.307918,1.01069,0.0406611,0.398946,9.81149
21,0.27763,0.326004,1.17424,0.0406611,0.398946,9.81149
24,0.24979,0.305837,1.22437,0.0406611,0.392934,9.66364
26,0.233673,0.32588,1.39459,0.0406611,0.398946,9.81149
28,0.268129,0.291212,1.08609,0.0406611,0.392934,9.66364
30,0.234728,0.318534,1.35703,0.0406611,0.563301,13.8536
31,0.31557,0.318232,1.00844,0.0406611,0.392934,9.66364
33,0.290422,0.301651,1.03866,0.0406611,0.392934,9.66364
35,0.275148,0.286644,1.04178,0.0406611,0.392934,9.66364
36,0.256946,0.303471,1.18107,0.0406611,0.398946,9.81149
38,0.294083,0.298086,1.01361,0.0406611,0.392934,9.66364
40,0.216978,0.287916,1.32694,0.0406611,0.522236,12.8436
42,0.195343,0.244906,1.25372,0.0406611,0.392934,9.66364
44,0.123626,0.17017,1.37648,0.0406611,0.392934,9.66364
46,0.156158,0.194251,1.24394,0.0406611,0.392934,9.66364
49,0.174037,0.260876,1.49897,0.0406611,0.563301,13.8536
51,0.123198,0.268268,2.17754,0.0406611,0.563301,13.8536
53,0.128825,0.265991,2.06474,0.0406611,0.509624,12.5335
54,0.234304,0.275057,1.17393,0.0406611,0.522236,12.8436
55,0.19981,0.206432,1.03314,0.0406611,0.392934,9.66364
57,0.235908,0.240775,1.02063,0.0406611,0.392934,9.66364
58,0.258099,0.259185,1.00421,0.0406611,0.392934,9.66364
61,0.238225,0.263774,1.10725,0.0406611,0.522236,12.8436
62,0.217609,0.255092,1.17225,0.0406611,0.563301,13.8536
65,0.140883,0.249265,1.7693,0.0406611,0.563301,13.8536
67,0.182044,0.232709,1.27831,0.0406611,0.563301,13.8536
68,0.169599,0.226304,1.33434,0.0406611,0.522236,12.8436
69,0.208599,0.248539,1.19146,0.0406611,0.392934,9.66364
72,0.202988,0.224007,1.10355,0.0406611,0.522236,12.8436
73,0.15098,0.222483,1.4736,0.0406611,0.563301,13.8536
74,0.197952,0.206838,1.04489,0.0406611,0.392934,9.66364
77,0.176994,0.207468,1.17218,0.0406611,0.509624,12.5335
78,0.204225,0.210799,1.03219,0.0406611,0.392934,9.66364
80,0.122876,0.204712,1.66601,0.0406611,0.522236,12.8436
82,0.146741,0.190826,1.30042,0.0406611,0.563301,13.8536
85,0.089761,0.1814,2.02093,0.0406611,0.509624,12.5335
86,0.153075,0.178569,1.16655,0.0406611,0.398946,9.81149
87,0.151747,0.184066,1.21298,0.0406611,0.522236,12.8436
