Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.282316,0.682752,2.4184,0.0465489,1.36361,29.2941
2,0.360689,0.398703,1.10539,0.113631,0.197269,1.73604
4,0.262427,0.339015,1.29184,0.113631,1.31007,11.5291
6,0.330276,0.393599,1.19173,0.113631,0.197269,1.73604
8,0.173285,0.376625,2.17345,0.113631,1.31007,11.5291
10,0.334068,0.372818,1.11599,0.113631,1.31007,11.5291
13,0.381427,0.38908,1.02006,0.113631,0.197269,1.73604
15,0.276994,0.302525,1.09217,0.113631,0.197269,1.73604
17,0.381944,0.391974,1.02626,0.113631,1.31007,11.5291
18,0.319686,0.378074,1.18264,0.113631,1.31007,11.5291
21,0.315893,0.361791,1.1453,0.113631,1.31007,11.5291
22,0.241118,0.374741,1.55418,0.113631,1.31007,11.5291
25,0.3374,0.366006,1.08479,0.113631,0.197269,1.73604
27,0.365133,0.383406,1.05004,0.113631,0.197269,1.73604
28,0.237234,0.379826,1.60106,0.113631,1.31007,11.5291
37,0.158936,0.365724,2.30107,0.113631,1.31007,11.5291
39,0.341013,0.372635,1.09273,0.113631,1.31007,11.5291
42,0.36258,0.373674,1.0306,0.113631,1.31007,11.5291
44,0.316025,0.373277,1.18116,0.113631,1.31007,11.5291
45,0.339753,0.356992,1.05074,0.113631,0.197269,1.73604
47,0.284949,0.368512,1.29325,0.113631,1.31007,11.5291
48,0.346965,0.371403,1.07043,0.113631,1.31007,11.5291
51,0.322905,0.368368,1.14079,0.113631,1.31007,11.5291
53,0.29276,0.369122,1.26084,0.110211,1.31007,11.8869
58,0.191171,0.359895,1.88258,0.113631,1.31007,11.5291
60,0.236078,0.34394,1.45689,0.113631,1.31007,11.5291
62,0.178405,0.364092,2.04082,0.113631,1.31007,11.5291
63,0.315384,0.36463,1.15615,0.113631,1.31007,11.5291
64,0.208201,0.282443,1.35658,0.113631,1.31007,11.5291
65,0.267676,0.364543,1.36188,0.113631,1.31007,11.5291
66,0.202449,0.35934,1.77497,0.113631,1.31007,11.5291
68,0.313933,0.359312,1.14455,0.113631,1.31007,11.5291
69,0.301392,0.354532,1.17632,0.113631,1.31007,11.5291
71,0.290873,0.358386,1.2321,0.113631,1.31007,11.5291
73,0.347389,0.358377,1.03163,0.113631,0.197269,1.73604
74,0.324745,0.334654,1.03051,0.113631,0.197269,1.73604
75,0.183745,0.340342,1.85225,0.113631,1.31007,11.5291
82,0.327696,0.328765,1.00326,0.113631,0.197269,1.73604
83,0.318754,0.340981,1.06973,0.113631,1.31007,11.5291
84,0.187555,0.34338,1.83083,0.113631,1.31007,11.5291
90,0.277334,0.33449,1.20609,0.113631,1.31007,11.5291
91,0.218888,0.334163,1.52664,0.113631,1.31007,11.5291
92,0.313901,0.330868,1.05405,0.113631,1.31007,11.5291
93,0.262144,0.326125,1.24407,0.113631,1.31007,11.5291
94,0.312766,0.319009,1.01996,0.113631,0.197269,1.73604
95,0.222458,0.328473,1.47656,0.113631,1.31007,11.5291
