Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.207515,0.682752,3.29014,0.0299742,1.398,46.6399
2,0.360689,0.398703,1.10539,0.113631,0.197269,1.73604
4,0.173285,0.376625,2.17345,0.113631,1.31007,11.5291
6,0.334068,0.372818,1.11599,0.113631,1.31007,11.5291
9,0.381944,0.391467,1.02493,0.113631,0.197269,1.73604
11,0.315893,0.361791,1.1453,0.113631,1.31007,11.5291
12,0.346965,0.371403,1.07043,0.113631,1.31007,11.5291
14,0.158936,0.365724,2.30107,0.113631,1.31007,11.5291
16,0.191171,0.359895,1.88258,0.113631,1.31007,11.5291
18,0.236078,0.34394,1.45689,0.113631,1.31007,11.5291
21,0.267676,0.364543,1.36188,0.113631,1.31007,11.5291
22,0.324745,0.334654,1.03051,0.113631,0.197269,1.73604
25,0.29276,0.340742,1.1639,0.113631,1.31007,11.5291
26,0.290873,0.339594,1.1675,0.113631,0.197269,1.73604
29,0.202449,0.267671,1.32216,0.113631,0.197269,1.73604
30,0.297376,0.328797,1.10566,0.113631,1.31007,11.5291
32,0.301392,0.336705,1.11717,0.113631,1.31007,11.5291
34,0.277334,0.33449,1.20609,0.113631,1.31007,11.5291
36,0.313901,0.330868,1.05405,0.113631,1.31007,11.5291
38,0.218888,0.331768,1.5157,0.113631,1.31007,11.5291
41,0.208201,0.282443,1.35658,0.113631,1.31007,11.5291
43,0.222458,0.328473,1.47656,0.113631,1.31007,11.5291
45,0.192958,0.267152,1.38451,0.113631,0.197269,1.73604
46,0.183745,0.310391,1.68924,0.113631,1.31007,11.5291
48,0.308978,0.311479,1.00809,0.113631,0.197269,1.73604
52,0.262427,0.300215,1.14399,0.113631,1.31007,11.5291
54,0.208013,0.314903,1.51386,0.113631,1.31007,11.5291
58,0.283651,0.292145,1.02994,0.113631,0.197269,1.73604
59,0.277268,0.310518,1.11992,0.113631,1.31007,11.5291
60,0.127202,0.25198,1.98095,0.113631,1.31007,11.5291
62,0.159586,0.212947,1.33437,0.113631,0.197269,1.73604
64,0.284243,0.305975,1.07646,0.113631,1.31007,11.5291
68,0.262144,0.288058,1.09886,0.113631,1.31007,11.5291
70,0.274963,0.293386,1.067,0.113631,1.31007,11.5291
72,0.279403,0.28786,1.03027,0.113631,0.197269,1.73604
75,0.178405,0.299192,1.67704,0.113631,1.31007,11.5291
76,0.249931,0.294011,1.17637,0.113631,1.31007,11.5291
79,0.235709,0.269729,1.14433,0.113631,0.197269,1.73604
81,0.233251,0.276458,1.18524,0.113631,1.31007,11.5291
82,0.237234,0.26743,1.12729,0.113631,1.31007,11.5291
85,0.123466,0.270753,2.19293,0.113631,1.31007,11.5291
86,0.146953,0.269535,1.83416,0.113631,1.31007,11.5291
87,0.178802,0.186645,1.04386,0.113631,0.197269,1.73604
89,0.173423,0.267595,1.54302,0.0299742,1.31007,43.7065
92,0.193446,0.253049,1.30812,0.113631,1.31007,11.5291
93,0.197818,0.241503,1.22083,0.113631,1.31007,11.5291
94,0.165042,0.226825,1.37435,0.113631,1.31007,11.5291
98,0.237759,0.242259,1.01892,0.113631,0.197269,1.73604
99,0.0995542,0.246813,2.47918,0.0299742,1.31007,43.7065
101,0.213366,0.23709,1.11119,0.113631,0.197269,1.73604
102,0.16608,0.204762,1.23292,0.113631,0.197269,1.73604
103,0.0898378,0.193598,2.15497,0.113631,1.31007,11.5291
104,0.0769026,0.217482,2.82801,0.0299742,1.31007,43.7065
106,0.121572,0.174765,1.43754,0.113631,0.197269,1.73604
108,0.10348,0.117034,1.13099,0.113631,0.197269,1.73604
109,0.179362,0.200279,1.11662,0.113631,1.31007,11.5291
