Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,1.41421,16.2788,11.5109,0,367.806,inf
4,5.47723,10.0499,1.83485,2.23607,43.6005,19.4987
6,4.24264,8.83176,2.08167,2.23607,53.1413,23.7655
7,1.73205,9,5.19615,0,344.171,inf
9,3.31662,8.60233,2.5937,1.73205,181.904,105.022
19,2.23607,3,1.34164,2.23607,53.1413,23.7655
23,1.41421,1.73205,1.22474,2.23607,43.6005,19.4987
25,1.73205,2,1.1547,2.23607,43.6005,19.4987
26,0,1.73205,inf,5.19615,43.6005,8.39091
27,1.41421,2,1.41421,2.23607,62.466,27.9356
28,1.73205,2,1.1547,2.23607,43.6005,19.4987
29,1.73205,2,1.1547,5.19615,43.6005,8.39091
30,1.41421,1.73205,1.22474,5.19615,43.6005,8.39091
31,1,2,2,2.23607,53.1413,23.7655
32,1.41421,1.73205,1.22474,0,183.619,inf
33,1,1.73205,1.73205,2.23607,62.466,27.9356
34,1,1.73205,1.73205,2.23607,53.1413,23.7655
35,1.41421,1.73205,1.22474,2.23607,62.466,27.9356
36,1.41421,1.73205,1.22474,2,181.904,90.9519
38,1.41421,1.41421,1,6.16441,43.6005,7.07293
39,1.41421,1.41421,1,5.19615,43.6005,8.39091
40,1.41421,1.41421,1,6.16441,43.6005,7.07293
41,0,0,-nan,6.16441,43.6005,7.07293
42,1.41421,1.41421,1,5.19615,43.6005,8.39091
43,1.41421,1.41421,1,5.19615,43.6005,8.39091
44,1.41421,1.41421,1,5.19615,43.6005,8.39091
45,1,1.41421,1.41421,2.23607,53.1413,23.7655
46,1,1.41421,1.41421,2.23607,53.1413,23.7655
48,0,0,-nan,5.19615,43.6005,8.39091
49,1.41421,1.41421,1,6.16441,43.6005,7.07293
51,1,1.41421,1.41421,2.23607,53.1413,23.7655
56,1,1,1,6.16441,43.6005,7.07293
57,1,1,1,5.19615,43.6005,8.39091
58,1,1,1,5.19615,43.6005,8.39091
59,1,1,1,6.16441,43.6005,7.07293
