Cluster, Core Distance
0,0.553799,
2,0.344756,
3,0.345302,
4,0.34062,
6,0.34751,
10,0.394575,
11,0.355523,
13,0.37377,
14,0.445718,
17,0.415618,
18,0.387197,
20,0.378353,
22,0.424511,
23,0.450983,
24,0.356842,
26,0.378563,
30,0.458893,
31,0.398956,
36,0.337831,
37,0.357722,
40,0.350417,
41,0.374546,
45,0.425249,
47,0.399957,
48,0.357943,
52,0.3621,
57,0.362212,
58,0.371397,
60,0.377862,
61,0.309919,
63,0.398342,
64,0.42516,
66,0.369319,
67,0.400063,
68,0.381118,
69,0.377536,
70,0.374618,
71,0.368848,
72,0.374821,
73,0.372233,
